,organic_globularity,organic_surface_area,organic_volume,length_est_by_volume,X_atoms_B_neighbor_percent_stdev,X_atoms_B_neighbor_percent_mean,X_atoms_H_neighbor_percent_stdev,X_atoms_H_neighbor_percent_mean,X_atoms_any_organic_neighbor_percent_stdev,X_atoms_any_organic_neighbor_percent_mean,B_atom_H_neighbor_percent,B_atom_X_neighbor_percent,B_atom_any_organic_neighbor_percent,organic_molecule_B_neighbor_percent,organic_molecule_X_neighbor_percent,organic_molecule_any_organic_neighbor_percent,B_atom_surface_area,B_atom_volume,B_atom_globularity,X_atoms_volumes_mean,X_atoms_volumes_stdev,X_atoms_surface_areas_mean,X_atoms_surface_areas_stdev,X_atoms_globularities_mean,X_atoms_globularities_stdev,contains_F,contains_Cl,contains_Br,contains_I,contains_Ge,contains_Sn,contains_Pb
1225,0.930255425066935,92.40690173078772,74.94349241900079,2.679254848527688,0.038530536740628445,0.20528404387383484,0.049877755282023664,0.6892912064554672,0.049877755282023664,0.6892912064554672,0.2725312151692374,0.7037412410854003,0.27253121516923734,0.035086039975011536,0.5698109221943902,0.39510303783059825,60.610806522120825,38.96138000385123,0.9169735878230648,51.49271512696919,17.721984085755732,61.61589224599416,1.5472404455413469,0.918360355428745,0.001961185555812554,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1226,0.9071948811414127,96.82196071432347,77.40797260896227,2.7310636415309717,0.2183863447074772,0.31556970487858566,0.21763557283552637,0.6628052306915878,0.21763557283552634,0.6628052306915878,0.0,0.9977270031557736,9.314177747474786e-18,0.0,0.5421305055042851,0.4578694944957149,62.578480219172455,38.15243175466632,0.8758044348090411,50.4161186427778,17.34347232186437,65.33877229618467,3.49049484716265,0.8939547648950058,0.02566844296911961,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1227,0.9088079936629099,94.89362496875721,75.30741840496934,2.7045311865714727,0.05375920950798308,0.2212158700970528,0.08845732591839335,0.6472062391768635,0.08845732591839335,0.6472062391768635,0.2526860933279051,0.7362414748188485,0.2526860933279051,0.05071194568593529,0.5287143012550539,0.4205737530590108,64.94745851905084,40.55057621894574,0.8788603283261271,52.83637501561791,17.37474328284084,63.82233237729371,1.6954102880488675,0.8883051792645557,0.013357036291717847,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1228,0.9162367949902107,115.93759668119117,102.94897564410628,2.9934698405027502,0.021859199319539224,0.17539753461602248,0.017195775337298796,0.7933541955027338,0.017195775337298883,0.7933541955027338,0.4214048746659778,0.5785951253340221,0.42140487466597787,0.0403135825704538,0.7148581850702538,0.2448282323592924,67.79447429609377,42.55535557151444,0.8694791801996953,53.47270984933274,15.439470484922566,65.72762499746709,3.2027368980030517,0.8825887846874334,0.01853978046390655,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1229,0.9059218949739296,117.51613913147818,103.28955419247838,3.0080981473107555,0.02719855944314056,0.19385237060593194,0.018770458927961878,0.7878086356503845,0.018770458927961847,0.7878086356503847,0.3554817460520243,0.6445182539479757,0.3554817460520243,0.03296140622167856,0.6675838165425808,0.29945477723574065,68.0012168808134,42.38123254226265,0.8644695618680198,62.5704802428772,28.55190791231891,65.45396540859822,3.42683921915351,0.8817253062420835,0.02440330772264402,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1230,0.906687265421546,117.6111646896066,103.5459452089762,3.00973769003875,0.02445009903395732,0.19544519784427772,0.017161433022206688,0.7877074189361645,0.017161433022206688,0.7877074189361645,0.3558213433519116,0.6441786566480884,0.3558213433519117,0.027746932375846977,0.6779255297701955,0.29432753785395754,68.12353487659095,42.312910157237255,0.8619897289965498,62.6384581689843,28.744665660878162,65.57402129615762,3.475222638622995,0.8766337843223431,0.020709821649878796,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1231,0.9118232320116932,114.94485828531809,100.89608159969865,2.9782284107280437,0.007169469533734769,0.19188980801400915,0.0039331299779118215,0.7953512554710063,0.003933129977911825,0.7953512554710063,0.3550819132037673,0.6449180867962326,0.35508191320376736,0.010811061810677555,0.6859667806061751,0.30322215758314736,63.25336021101711,38.45882682624912,0.8710927959867457,60.15453295382482,30.68236185087861,63.76152331464555,1.5688029457150934,0.8829576191316791,0.016779393806723046,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1232,0.9184514194043375,114.63825197063514,101.59038683148408,2.9778461850698683,0.004365155124062264,0.1926381627463675,0.00768542205945815,0.7974606827569884,0.00768542205945806,0.7974606827569887,0.36102115727984924,0.6389788427201507,0.36102115727984924,0.010038052900511426,0.7201872180637963,0.26977472903569233,64.4263629565943,39.51527149272032,0.8708239551518698,59.97554152837977,28.93519137424543,64.12329016286583,0.5857584514479086,0.884490380771811,0.019327244460883887,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1233,0.9085316335732038,115.172113509804,100.64798429320065,2.979374725868017,0.007233032902371365,0.18942684474298832,0.0037217396880949868,0.7958051268451647,0.0037217396880949868,0.7958051268451647,0.36725893494322265,0.6327410650567773,0.3672589349432227,0.0158463906311158,0.6749862058785624,0.3091674034903218,62.55197448782317,38.047792231976786,0.8745727742349612,59.228657098479225,29.954266356999536,63.304054274508275,1.2489319868336373,0.8891989892914199,0.02068459169902957,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1234,0.9060782769175145,115.41218526501711,100.55416653400391,2.9811345005218515,0.008161101249585506,0.18871105711543967,0.0011516401721631195,0.794400415407798,0.0011516401721631195,0.794400415407798,0.3755984105238585,0.6244015894761415,0.3755984105238585,0.017836449153703443,0.6642304273557614,0.31793312349053515,62.37510750535969,37.97294472900747,0.8759020574727377,58.86462458373853,29.545296991317436,62.97431150446308,1.140424065820141,0.8867785828395598,0.015381729685254683,0.0,0.0,0.0,1.0,0.0,0.0,1.0
