,file,HSE bandgap,"dielectric constant, electronic","dielectric constant, ionic","dielectric constant, total",gap type,organic molecule,refractive index,relative energy1,relative energy2,organic_surface_area,organic_volume,organic_globularity,label,organic_furthest_distance_from_center,B_atom,X_atom,B_atom_volume,B_atom_globularity,order,length_est_by_volume,X_atom_0_B_neighbor_area,X_atom_0_B_neighbor_percent,X_atom_1_B_neighbor_area,X_atom_1_B_neighbor_percent,X_atom_2_B_neighbor_area,X_atom_2_B_neighbor_percent,X_atoms_B_neighbor_percent_stdev,X_atoms_B_neighbor_percent_mean,X_atom_0_H_neighbor_area,X_atom_0_H_neighbor_percent,X_atom_1_H_neighbor_area,X_atom_1_H_neighbor_percent,X_atom_2_H_neighbor_area,X_atom_2_H_neighbor_percent,X_atoms_H_neighbor_percent_stdev,X_atoms_H_neighbor_percent_mean,X_atom_0_any_organic_neighbor_area,X_atom_0_any_organic_neighbor_percent,X_atom_1_any_organic_neighbor_area,X_atom_1_any_organic_neighbor_percent,X_atom_2_any_organic_neighbor_area,X_atom_2_any_organic_neighbor_percent,X_atoms_any_organic_neighbor_percent_stdev,X_atoms_any_organic_neighbor_percent_mean,B_atom_H_neighbor_percent,B_atom_X_neighbor_percent,B_atom_any_organic_neighbor_percent,organic_molecule_B_neighbor_percent,organic_molecule_X_neighbor_percent,organic_molecule_any_organic_neighbor_percent,X_atoms_volumes_mean,X_atoms_volumes_stdev,B_atom_surface_area,X_atoms_surface_areas_mean,X_atoms_surface_areas_stdev,X_atoms_globularities_mean,X_atoms_globularities_stdev,contains_F,contains_Cl,contains_Br,contains_I,contains_Ge,contains_Sn,contains_Pb
656,663,3.4493,3.4788,3.8034,7.2822,direct,C3H5N2,1.8651,0.0991,0.3868,99.1618876,82.87982183,0.927054123,Imidazolium Tin Chloride,3.437819365,Sn,Cl,35.62417947,0.861914985,0,2.77386099,9.236866116,0.212023499,8.270685851,0.199851461,9.256567778,0.221391734,0.008818577,0.211088898,25.91987663,0.594966178,29.2372683,0.706484429,29.17494974,0.697784845,0.050644383,0.666411817,33.79150387,0.775651913,32.7343208,0.790986617,32.44415577,0.775975294,0.007153846,0.780871275,0.291672339,0.637179851,0.362820149,0.032607408,0.718371935,0.249020656,35.62417947,0,60.74578535,42.25342323,0.943843479,0.861914985,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
657,664,3.4074,3.4872,3.9474,7.4346,indirect,C3H5N2,1.8674,0.0992,0.3869,99.14332012,82.62521761,0.925327824,Imidazolium Tin Chloride,3.420270303,Sn,Cl,35.51318715,0.863316668,2,2.772739812,8.609270176,0.199601582,8.251912181,0.198738324,9.110500979,0.218199287,0.008977434,0.205513064,27.19407945,0.630481,28.94041403,0.696998375,28.78812448,0.689484393,0.029744134,0.672321256,34.03283961,0.789034201,32.72679148,0.788189155,32.4684973,0.777630448,0.005188084,0.784951268,0.292818081,0.628574324,0.371425676,0.035497351,0.716270613,0.248232036,35.51318715,0,60.52112279,42.13562948,0.711050063,0.863316668,1.11E-16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
658,665,4.1084,3.5036,11.1486,14.6522,indirect,C3H5N2,1.8718,0.103,0.3907,99.91350133,82.2471068,0.915391573,Imidazolium Tin Chloride,3.704864243,Sn,Cl,31.83566113,0.874950137,5,2.778484807,9.214881559,0.21788135,11.81437774,0.27842034,8.836214141,0.212951306,0.029768494,0.236417665,29.17000885,0.689710536,21.54962716,0.507843464,28.09070307,0.67698132,0.082895703,0.624845107,31.76211426,0.750999595,21.54962716,0.507843464,30.15604739,0.726755779,0.109359381,0.661866279,0.224563874,0.772571113,0.224563874,0.006751211,0.532224755,0.461024034,31.83566113,0,55.5192104,42.07359282,0.413785955,0.874950137,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
659,666,4.1033,3.5041,10.076,13.5801,indirect,C3H5N2,1.8719,0.103,0.3908,99.95916517,82.23502788,0.914883815,Imidazolium Tin Chloride,3.727237247,Sn,Cl,31.84920845,0.875332092,6,2.778862681,9.313974011,0.220440647,11.92526092,0.280844498,8.95070377,0.215489235,0.029710552,0.238924793,29.1389131,0.689652004,21.48858236,0.50606441,28.46994684,0.685417282,0.085563356,0.627044565,31.73738672,0.751151983,21.48858236,0.50606441,30.45387081,0.733180483,0.111541026,0.663465625,0.22297204,0.77259954,0.22297204,0.007245817,0.535239576,0.457514607,31.84920845,3.55E-15,55.51072673,42.08347678,0.396093074,0.875332092,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
660,667,4.1879,3.4822,14.5762,18.0584,indirect,C3H5N2,1.8661,0.1041,0.3919,99.72931644,81.23549372,0.909546784,Imidazolium Tin Chloride,3.618631276,Sn,Cl,31.8563623,0.878805795,7,2.772960695,10.32076975,0.246962503,10.42113966,0.242996463,8.090099309,0.193807816,0.024176833,0.227922261,27.44888525,0.656815873,24.68323673,0.575555018,28.15718468,0.674538378,0.043095655,0.635636423,29.71890664,0.711134512,24.68323673,0.575555018,31.77856477,0.761292785,0.078454636,0.682660772,0.248752658,0.749973734,0.248752658,0.016444969,0.554130194,0.429424838,31.8563623,0,55.29958577,42.1399016,0.52791478,0.878805795,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
661,668,4.1245,3.5047,10.8537,14.3584,indirect,C3H5N2,1.8721,0.1026,0.3904,100.0618396,82.32856744,0.914637967,Imidazolium Tin Chloride,3.738093844,Sn,Cl,31.83013805,0.874140152,3,2.780164954,9.333229304,0.220684015,11.8533855,0.279039551,8.845379408,0.212779274,0.029548976,0.237500946,29.31121544,0.693063086,21.68755711,0.510544957,28.2377085,0.679269801,0.082980048,0.627625948,31.80682631,0.752071753,21.68755711,0.510544957,30.32352897,0.729445078,0.108916085,0.664020596,0.224111349,0.772726146,0.224111349,0.005980746,0.534349961,0.459669293,31.83013805,0,55.56422752,42.11406283,0.391735916,0.874140152,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
662,669,2.3125,4.2899,12.9572,17.2471,direct,CH3CH2NH3,2.0712,0.01,0.2174,95.42071957,77.47115431,0.921017749,Ethylammonium Tin Bromide,3.437173298,Sn,Br,34.70202485,0.852716143,0,2.718070992,11.62241256,0.21899969,10.9758449,0.220704308,10.70469288,0.216735627,0.001625564,0.218813208,39.79945534,0.749936241,38.05805101,0.76527829,38.15914189,0.772599984,0.009443581,0.762604838,39.79945534,0.749936241,38.05805101,0.76527829,38.15914189,0.772599984,0.009443581,0.762604838,0.314338315,0.685661685,0.314338315,0.012595333,0.705606014,0.281798653,82.32856744,0,60.3368632,50.7306674,1.660305031,0.914637967,1.11E-16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
663,670,2.2339,4.3128,10.9835,15.2963,indirect,CH3CH2NH3,2.0767,0.0115,0.219,96.3640901,78.15981542,0.91739801,Ethylammonium Tin Bromide,3.469666142,Sn,Br,34.06149752,0.854853041,1,2.729681839,10.28832856,0.197569812,10.72006005,0.213103445,9.498991874,0.190627601,0.009396522,0.200433619,40.19018641,0.77178402,39.39845948,0.783199667,39.1786856,0.786245418,0.006224732,0.780409702,40.19018641,0.77178402,39.39845948,0.783199667,39.1786856,0.786245418,0.006224732,0.780409702,0.361293793,0.638706207,0.361293793,0.013558277,0.743254328,0.243187395,77.47115431,0,59.44313418,50.73632745,0.965774933,0.921017749,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
664,671,3.5585,3.7403,6.4228,10.1631,indirect,CH3CH2NH3,1.934,0.0188,0.2263,93.23250272,74.92114408,0.921834434,Ethylammonium Tin Bromide,3.396723353,Sn,Br,34.7947245,0.885707809,6,2.687121339,12.70203791,0.243202377,9.16697449,0.175322766,11.25034153,0.226260593,0.028846967,0.214928579,37.25538756,0.713318514,41.55042532,0.794671733,32.5508567,0.654644673,0.057415197,0.720878307,37.25538756,0.713318514,41.55042532,0.794671733,32.5508567,0.654644673,0.057415197,0.720878307,0.246518628,0.747959416,0.246518628,0.013125435,0.602859504,0.384015061,78.15981542,0,58.19278332,51.41249263,1.194930005,0.91739801,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
665,672,3.6029,3.7628,8.1589,11.9218,indirect,CH3CH2NH3,1.9398,0.0164,0.2239,93.58950992,75.22188093,0.920773804,Ethylammonium Tin Bromide,3.527473132,Sn,Br,35.06800186,0.873532511,2,2.691744687,13.39401337,0.264159518,10.47062271,0.20803813,12.57859499,0.24410251,0.023220042,0.238766719,34.97786402,0.68984071,38.68297054,0.768582066,32.02337884,0.621451535,0.060115328,0.693291437,34.97786402,0.68984071,38.68297054,0.768582066,32.02337884,0.621451535,0.060115328,0.693291437,0.223250327,0.776749673,0.223250327,0.010739903,0.563213282,0.426046814,74.92114408,0,59.31241532,50.85484588,0.501201878,0.921834434,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
