file,"dielectric constant, electronic",split,Predicted
250,0.16276409945482248,test,0.21968807
251,0.08402299177402302,train,0.12246789
252,0.1331911727781535,train,0.1741989
253,-0.2560964043550345,train,-0.17194079
254,0.848602043621476,train,0.92694056
255,0.7795844740267296,train,0.8547171
256,0.31217751435509045,train,0.43363917
257,0.20055655455893315,test,0.24511196
258,0.4890491147798311,train,0.57439625
259,0.3986672087075632,train,0.45043096
260,0.27322144603527104,train,0.34417814
261,0.38222128293637414,train,0.3832891
262,0.30599133492274544,test,0.35512057
263,1.269851515743467,train,1.208998
264,0.9731580949897426,test,1.0974836
265,0.9794519110809017,train,1.045399
266,1.052919040021747,train,1.0866643
267,0.7333847003123529,train,0.79077274
268,0.6360381569067138,test,0.94012034
269,0.7948154469067191,train,0.85144925
270,0.5968438996399614,train,0.5317491
271,0.5547697551769789,train,0.6806395
273,-0.43265406388439087,train,-0.45305872
274,-0.493289593433467,test,-0.76011956
275,-0.7453301329085322,train,-0.79023856
276,1.1085235213802997,train,1.1828651
277,1.2067896318824611,train,1.1645129
278,0.6908612796254542,train,0.7559104
279,0.5291874017641931,test,0.52482086
280,0.4249728040021762,train,0.41733775
281,0.7561268721891755,test,0.8052525
282,0.804967927124355,train,0.8626689
283,0.4670888423227796,train,0.505788
284,0.8790636193862736,train,0.9281877
285,0.7220723291635617,train,0.7641938
286,0.8861383468391135,test,0.84511375
287,0.4272776510029269,train,0.4430881
288,0.5733129624454036,train,0.5610502
289,0.4521148637442852,train,0.42981368
290,0.45004411918207676,test,0.46887824
291,-0.2188448167199539,train,-0.06753388
292,-0.24972140621486752,train,-0.18960564
293,-0.40881117949918466,test,-0.3668961
294,-0.413593419850708,train,-0.37200102
295,-0.33484749366724925,test,-0.4902775
296,-0.5225765619172965,train,-0.48922834
297,-0.5639524845420143,train,-0.5388968
298,-0.23915709421061745,train,-0.17507909
299,-0.4153757417932047,train,-0.33794072
300,0.22807954684829623,test,0.21441878
301,0.24691976269417718,test,0.24960712
302,0.19571138502498042,test,0.12443271
303,0.28875602074865236,train,0.3099305
304,-0.19903309360208157,train,-0.18354818
305,-0.060603091142966796,train,-0.024739474
306,-0.021467454481735176,train,0.016770095
